"MULTILINESTRING ((-73.95277807831867 40.69646501138334, -73.95274629816285 40.69630442271081, -73.95272293331755 40.696186357432026, -73.95269863446724 40.69606357067456, -73.95265284432439 40.695832184342365, -73.9526219282284 40.69567595973044))",2
"MULTILINESTRING ((-74.16414004913423 40.540809265667285, -74.16499773188755 40.540447293849596))",1
"MULTILINESTRING ((-73.98414926473966 40.57905270913504, -73.98371127190396 40.57674332589287))",8
"MULTILINESTRING ((-73.89786321954908 40.82159775241347, -73.89687837054768 40.822117858201096))",1
"MULTILINESTRING ((-73.85665560423335 40.82894491334291, -73.8535935966857 40.829358500460316))",1
"MULTILINESTRING ((-73.98113393029175 40.77929158499034, -73.9816326117878 40.7794984540231))",2
"MULTILINESTRING ((-73.91551250506132 40.705626444150916, -73.91436120218079 40.70675475423469))",3
"MULTILINESTRING ((-73.9154205857136 40.85417551165857, -73.91493811920355 40.855700823178424))",4
"MULTILINESTRING ((-73.91689895915914 40.68878957539688, -73.916147134518 40.688360259317484))",1
"MULTILINESTRING ((-73.98789201618997 40.69046751301505, -73.9883004738487 40.689869424967355))",2
"MULTILINESTRING ((-73.8758015425424 40.82640171729573, -73.8748747793593 40.826528441987755))",3
"MULTILINESTRING ((-73.95772544059622 40.71783430087182, -73.95643900199391 40.71703242146746))",10
"MULTILINESTRING ((-73.82297778281232 40.842537880148065, -73.82024874313467 40.8415819532525))",1
"MULTILINESTRING ((-74.24880339922812 40.50614467330316, -74.24793662815914 40.503569862819226))",2
